BD_ID;INSTANCE_ID;INSTANCE_NAME;DATABASE_NAME;AMBIENTE;HOST_NAME;DIRECCION_IP
GRPBOLIVAR_DEV;1;grpbolivar;GRPBOLIVAR;DEV;BD41SBCC06;10.7.3.3
SIPN_DEV;1;sipn;SIPN;DEV;BD41SBCC06;10.7.3.3
RIGHTNOW_DEV;1;rightnow;RIGHTNOW;DEV;BD41SBCC06;10.7.3.3
AUDIO_DEV;1;audio;AUDIO;DEV;BD41SBCC06;10.7.3.3
CAPI_DEV;1;capimask;CAPI;DEV;BD41SBCC06;10.7.3.3
DMCIA_DEV;1;dmcia;DMCIA;DEV;BD41SBCC06;10.7.3.3
FINA_TEST;1;fina;FINA;DEV;BD41SBCC06;10.7.3.3
HPCCENTER_DEV;1;hpccenter;HPCCENTER;DEV;BD41SBCC06;10.7.3.3
SARL_DEV;1;sarlmask;SALUDARP;DEV;BD42SBCC04;10.1.7.99
FILENET_DEV;1;filenet;FILENET;DEV;BD42SBCC04;10.1.7.99
BIZAGI_DEV;1;bizagi;BIZAGI;DEV;BD42SBCC04;10.1.7.99
SOA_DEV;1;soa;SOA;DEV;BD42SBCC04;10.1.7.99
VENTAS_DEV;1;ventas;VENTAS;DEV;BD42SBCC04;10.1.7.99
PARP_DEV;1;parp;PARP;DEV;BD42SBCC04;10.1.7.99
DESA11G_DEV;1;desa11g;PROD11;DEV;BD42SBCC04;10.1.7.99
SANT_DEV;1;sant;SANT;DEV;BD42SBCC04;10.1.7.99
AVALUOSW_DEV;1;avaluosw;AVALUOS;DEV;BD42SBCC04;10.1.7.99
SIPLA_DEV;1;sipla;SIPLA;DEV;BD42SBCC04;10.1.7.99
SIPAB_DEV;1;sipab;SIPAB;DEV;BD42SBCC04;10.1.7.99
SALU_DEV;1;salu;SALU;DEV;BD42SBCC04;10.1.7.99
SAGHI_DEV;1;saghi;SAGHI;DEV;BD44SBCC06;10.1.7.83
ASTB_DEV;1;astb;ASTB;DEV;BD44SBCC06;10.1.7.83
SIEBEL_DEV;1;siebel;SIEBEL;DEV;BD44SBCC06;10.1.7.83
PRES_DEV;1;presmask;PRES;DEV;BD43SBCC06;10.1.7.81
INVESA_DEV;1;invesa;INVESA;DEV;BD43SBCC06;10.1.7.81
SIFV_DEV;1;sifv;SIFV;DEV;BD43SBCC06;10.1.7.81
SVPA_DEV;1;svpa;SVPA;DEV;BD43SBCC06;10.1.7.81
DGH_DEV;1;dgh;DGH;DEV;BD43SBCC06;10.1.7.81
FONDOS_DEV;1;fondos;FONDOS;DEV;BD43SBCC06;10.1.7.81
SITR_DEV;1;sitr;SITR;DEV;BD43SBCC06;10.1.7.81
LOGERR_DEV;1;logerr;LOGERR;DEV;BD43SBCC06;10.1.7.81
TERCEROS_DEV19;1;tercmask;TERCEROS;DEV;BD18SBCC06;10.1.2.76
TRON_DEV19;1;tron;TRON;DEV;BD18SBCC06;10.1.2.76
PSAI_DEV;1;psai;PSAI;DEV;BD18SBCC06;10.1.2.76
INTRANET_DEV;1;intranet;INTRANET;DEV;BD18SBCC06;10.1.2.76
SIMASOL_DEV;1;simasol;SIMASOL;DEV;BD18SBCC06;10.1.2.76
SAIJMASK_DEV;1;saijmask;SAIJMASK;DEV;BD18SBCC06;10.1.2.76
SAIFORMS_DEV;1;saiforms;SAIFORMS;DEV;BD18SBCC06;10.1.2.76
RCUFORMS_DEV;1;rcuforms;RCUFORMS;DEV;BD18SBCC06;10.1.2.76
TERCEROS_CONS;1;tron;TERCEROS;PROD;BD07SBCC04;10.7.0.90
TRON_CONS;1;tron;TRON;PROD;BD07SBCC04;10.7.0.90
FINA;1;fina1;FINA;PROD;BD29SBCC04;10.7.0.89
BIEE;1;biee;BIEE;PROD;BD29SBCC04;10.7.0.89
SIEBEL;1;siebel;SIEBEL;PROD;BD29SBCC04;10.7.0.89
SANT_PREPROD;1;sant1;SANT;PROD;BD29SBCC04;10.7.0.89
RIGHTNOW;2;rightnow2;RIGHTNOW;PROD;BD02SBCC04;10.7.0.70
ASTB;2;astb2;ASTB;PROD;BD02SBCC04;10.7.0.70
PSAIJ;2;psaij2;PSAIJ;PROD;BD02SBCC04;10.7.0.70
LOGERR;2;logerr2;LOGERR;PROD;BD02SBCC04;10.7.0.70
PSAI;2;psai2;PSAI;PROD;BD02SBCC04;10.7.0.70
SOAP;2;soap2;SOA;PROD;BD02SBCC04;10.7.0.70
PROD11;2;prod112;PROD11;PROD;BD02SBCC04;10.7.0.70
ASTB;1;astb1;ASTB;PROD;BD01SBCC04;10.7.0.69
RIGHTNOW;1;rightnow1;RIGHTNOW;PROD;BD01SBCC04;10.7.0.69
SOAP;1;soap1;SOA;PROD;BD01SBCC04;10.7.0.69
PSAI;1;psai1;PSAI;PROD;BD01SBCC04;10.7.0.69
LOGERR;1;logerr1;LOGERR;PROD;BD01SBCC04;10.7.0.69
PSAIJ;1;psaij1;PSAIJ;PROD;BD01SBCC04;10.7.0.69
PROD11;1;prod111;PROD11;PROD;BD01SBCC04;10.7.0.69
SALU;2;salu2;SALU;PROD;BD06SBCC04;10.7.0.63
INTRANET;2;intranet2;INTRANET;PROD;BD06SBCC04;10.7.0.63
IPM;2;ipm2;IPM;PROD;BD06SBCC04;10.7.0.63
INFRABOL;2;infrabol2;INFRABOL;PROD;BD06SBCC04;10.7.0.63
FILENET;2;filenet2;FILENET;PROD;BD06SBCC04;10.7.0.63
RCUFORMSPROD;2;rcuformsprod2;RCUFORMS;PROD;BD06SBCC04;10.7.0.63
CAPI;2;capi2;CAPI;PROD;BD06SBCC04;10.7.0.63
SALUDARP;2;saludarp2;SALUDARP;PROD;BD06SBCC04;10.7.0.63
SALU;1;salu1;SALU;PROD;BD05SBCC04;10.7.0.62
