Nombre;IP;PUERTO
AdminServer_saludprod_Prod_14;10.67.33.113;5895
Salud2_2_saludprod_Prod_14;10.67.33.113;5893
Salud2_saludprod_Prod_14;10.67.33.113;5894
Salud3_2_saludprod_Prod_14;10.67.33.113;5891
Salud3_saludprod_Prod_14;10.67.33.113;5892
AdminServer_proc_juridicos_prod;10.7.6.5;6099
proc_jur2_proc_juridicos_prod;10.7.6.5;6097
proc_jur_proc_juridicos_prod;10.7.6.5;6098
SrvprodAF1_2_wlprodAF_Prod;10.1.2.85;5895
AdminServer_wlprodAF_Prod;10.1.2.82;5898
SrvprodAF1_wlprodAF_Prod;10.1.2.82;5896
SrvprodAF2_wlprodAF_Prod;10.1.2.82;5894
SrvprodAF_wlprodAF_Prod;10.1.2.82;5897
SrvprodAF2_2_wlprodAF_Prod;10.1.2.85;5893
SrvprodAF_2_wlprodAF_Prod;10.1.2.85;5892
AdminServer_siab_frm_prod;10.1.3.100;6001
WLS_FORMS_SIAB1_2_siab_frm_prod;10.1.3.100;7052
WLS_FORMS_SIAB1_siab_frm_prod;10.1.3.100;7053
WLS_REPORTS_SIAB1_2_siab_frm_prod;10.1.3.100;7054
WLS_REPORTS_SIAB1_siab_frm_prod;10.1.3.100;7055
WLS_FORMS_SIAB2_2_siab_frm_prod;10.1.3.101;7056
WLS_FORMS_SIAB2_siab_frm_prod;10.1.3.101;7057
WLS_REPORTS_SIAB2_2_siab_frm_prod;10.1.3.101;7058
WLS_REPORTS_SIAB2_siab_frm_prod;10.1.3.101;7059
AdminServer_parp_frm_prod;10.1.3.102;6001
WLS_FORMS_PARP_parp_frm_prod;10.1.3.102;7062
WLS_REPORTS_PARP_parp_frm_prod;10.1.3.102;7063
AdminServer_svpa_frm_prod;10.1.3.104;6001
WLS_FORMS_CONCI_svpa_frm_prod;10.1.3.104;7072
WLS_FORMS_svpa_frm_prod;10.1.3.104;7073
WLS_REPORTS_CONCI_svpa_frm_prod;10.1.3.104;7074
WLS_REPORTS_svpa_frm_prod;10.1.3.104;7075
WLS_FORMS_CONCI2_svpa_frm_prod;10.1.3.105;7073
WLS_REPORTS_CONCI2_svpa_frm_prod;10.1.3.105;7075
AdminServer_cen_frm_prod;10.1.3.144;8001
WLS_FORMS_SAGHI1_PROD_cen_frm_prod;10.1.3.144;9001
WLS_FORMS_SIPLAL1_PROD_cen_frm_prod;10.1.3.144;9003
WLS_FORMS_SITRI1_PROD_cen_frm_prod;10.1.3.144;9004
WLS_REPORTS_SAGHI1_PROD_cen_frm_prod;10.1.3.144;9005
WLS_REPORTS_SIPLA1_PROD_cen_frm_prod;10.1.3.144;9007
WLS_REPORTS_SITRI1_PROD_cen_frm_prod;10.1.3.144;9008
WLS_FORMS_SIEBEL1_PROD_cen_frm_prod;10.1.3.144;9002
WLS_FORMS_SIPLAL2_PROD_cen_frm_prod;10.1.3.145;9003
WLS_FORMS_SITRI2_PROD_cen_frm_prod;10.1.3.145;9004
WLS_REPORTS_SIPLA2_PROD_cen_frm_prod;10.1.3.145;9007
WLS_REPORTS_SITRI2_PROD_cen_frm_prod;10.1.3.145;9008
WLS_FORMS_SIEBEL2_PROD_cen_frm_prod;10.1.3.145;9002
AdminServer(admin)_1211;10.1.3.208;7060
Pagos1_1211;10.1.3.208;5890
Pagos1_2_1211;10.1.3.208;5891
AdminServer_exstreamprod_Prod_1;10.1.3.84;5089
Exstreamprod1_exstreamprod_Prod_1;10.1.3.84;5088
Exstreamprod2_exstreamprod_Prod_1;10.1.3.84;5087
AdminServer_exstreamprod_Prod_2;10.1.3.85;5089
AdminServer_transversalesprod_Prod_2_1211;10.1.5.112;5898
Impresion1_transversalesprod_Prod_2_1211;10.1.5.112;5897
Impresion1_2 _transversalesprod_Prod_2_1211;10.1.5.113;5896
AdminServer_transversalesprod_122_Prod_1223;10.1.5.112;5891
Impresion1_transversalesprod_122_Prod_1223;10.1.5.112;5890
WSSign1_transversalesprod_122_Prod_1223;10.1.5.112;5888
WSSign1_2_transversalesprod_122_Prod_1223;10.1.5.113;5887
Impresion1_2_transversalesprod_122_Prod_1223;10.1.5.113;5889
AdminServer_tronador_frm_prod;10.1.5.129;9089
WLS_FORMS1_1_tronador_frm_prod;10.1.5.129;9087
WLS_FORMS1_2_tronador_frm_prod;10.1.5.129;9086
WLS_FORMS1_3_tronador_frm_prod;10.1.5.129;9085
WLS_FORMS2_1_tronador_frm_prod;10.1.5.139;9087
WLS_FORMS2_2_tronador_frm_prod;10.1.5.139;9086
WLS_FORMS2_3_tronador_frm_prod;10.1.5.139;9085
WLS_FORMS3_1_tronador_frm_prod;10.1.5.99;9087
WLS_FORMS3_2_tronador_frm_prod;10.1.5.99;9086
WLS_FORMS3_3_tronador_frm_prod;10.1.5.99;9085
Capi1_2_simon_Prod;10.1.5.47;5896
AdminServer_simon_Prod_1211;10.1.5.148;6001
Simon1_6_simon_Prod;10.1.5.148;5890
Simon1_8_simon_Prod;10.1.5.148;5888
