Nombre;IP;PUERTO
BD01SBCC09 RAC0102C Contingencia;10.17.0.69;1521
BD02SBCC09 RAC0102C Contingencia;10.17.0.70;1521
BD05SBCC09 RAC0506C Contingencia;10.17.0.62;1521
BD06SBCC09 RAC0506C Contingencia;10.17.0.63;1521
BD18SBCC06 BD18SBCC06 Desarrollo;10.1.2.76;1521
BD41SBCC06 BD41SBCC06 Desarrollo;10.7.3.3;1521
BD42SBCC04 BD42SBCC04 Desarrollo;10.1.7.99;1521
BD43SBCC06 BD43SBCC06 Desarrollo;10.1.7.81;1521
BD44SBCC06 BD44SBCC06 Desarrollo;10.1.7.83;1521
BD14SBCC04 BD14SBCC04 Producción;10.7.0.45;1521
BD16SBCC04 BD16SBCC04 Producción;10.1.5.168;1521
BD24SBCC04 BD24SBCC04 Producción;10.7.0.47;1521
BD27SBCC04 BD27SBCC04 Producción;10.7.0.49;1521
BD29SBCC04 BD29SBCC04 Producción;10.7.0.89;1521
BD34SBCC04 BD34SBCC04 Producción;10.1.5.6;1521
BD01SBCC04 RAC0102 Producción;10.7.0.69;1521
BD02SBCC04 RAC0102 Producción;10.7.0.70;1521
BD03SBCC04 RAC0304 Producción;10.7.0.55;1521
BD04SBCC04 RAC0304 Producción;10.7.0.56;1521
BD05SBCC04 RAC0506 Producción;10.7.0.62;1521
BD06SBCC04 RAC0506 Producción;10.7.0.63;1521
BD38SBCC04 RAC383940 Producción;10.7.0.34;1521
BD39SBCC04 RAC383940 Producción;10.7.0.35;1521
BD40SBCC04 RAC383940 Producción;10.7.0.36;1521
BD07SBCC04 BD07SBCC04 Producción Consulta;10.7.0.90;1521
BD04SBCC08 BD04SBCC08 Pruebas;10.1.20.8;1521
BD05SBCC08 BD05SBCC08 Pruebas;10.1.20.90;1521
BD06SBCC08 BD06SBCC08 Pruebas;10.1.20.23;1521
BD08SBCC08 BD08SBCC08 Pruebas;10.1.20.98;1521
BD09SBCC08 BD09SBCC08 Pruebas;10.7.2.14;1521
BD41SBCC06 BD41SBCC06 Pruebas;10.7.3.3;1521
BD01SBCC05 BD01SBCC05 Stage;10.6.6.4;1521
BD38SBCC05 BD38SBCC05 Stage;10.6.6.2;1521
