cert_id,entry_name,entry_type,dias_restantes,estado,valid_until,nombre_cert
3,events.segurosbolivar.com.co,trustedCertEntry,1514.0,VIGENTE,2030-03-23 21:41:34,CN=events-992.segurosbolivar.com.co
1,monitor.bolivar.internal,trustedCertEntry,1368.0,VIGENTE,2029-10-28 21:41:34,CN=monitor-847.bolivar.internal
3,metrics.bolivar.internal,PrivateKeyEntry,992.0,VIGENTE,2028-10-17 21:41:34,CN=metrics-567.bolivar.internal
1,ca.bolivar.cloud,PrivateKeyEntry,-95.0,VENCIDO,2025-10-26 21:41:34,CN=ca-127.bolivar.cloud
1,monitor.bolivar.cloud,trustedCertEntry,548.0,VIGENTE,2027-07-31 21:41:34,CN=monitor-413.bolivar.cloud
1,admin.bolivar.cloud,PrivateKeyEntry,-141.0,VENCIDO,2025-09-10 21:41:34,CN=admin-360.bolivar.cloud
3,events.segurosbolivar.com,trustedCertEntry,741.0,VIGENTE,2028-02-09 21:41:34,CN=events-357.segurosbolivar.com
1,auth.segurosbolivar.com.co,trustedCertEntry,1300.0,VIGENTE,2029-08-21 21:41:34,CN=auth-390.segurosbolivar.com.co
2,auth.segurosbolivar.com.co,PrivateKeyEntry,977.0,VIGENTE,2028-10-02 21:41:34,CN=auth-364.segurosbolivar.com.co
2,proxy.bolivar.cloud,trustedCertEntry,94.0,VIGENTE,2026-05-03 21:41:34,CN=proxy-722.bolivar.cloud
2,events.bolivar.biz,trustedCertEntry,1084.0,VIGENTE,2029-01-17 21:41:34,CN=events-219.bolivar.biz
2,auth.bolivar.biz,trustedCertEntry,1046.0,VIGENTE,2028-12-10 21:41:34,CN=auth-821.bolivar.biz
2,proxy.bolivar.internal,PrivateKeyEntry,2.0,CRITICO,2026-01-31 21:41:34,CN=proxy-419.bolivar.internal
2,core.bolivar.biz,PrivateKeyEntry,624.0,VIGENTE,2027-10-15 21:41:34,CN=core-828.bolivar.biz
2,api.bolivar.biz,trustedCertEntry,675.0,VIGENTE,2027-12-05 21:41:34,CN=api-656.bolivar.biz
3,admin.segurosbolivar.com,trustedCertEntry,871.0,VIGENTE,2028-06-18 21:41:34,CN=admin-594.segurosbolivar.com
1,events.segurosbolivar.com.co,trustedCertEntry,1478.0,VIGENTE,2030-02-15 21:41:34,CN=events-647.segurosbolivar.com.co
3,root.segurosbolivar.com,PrivateKeyEntry,19.0,POR VENCER,2026-02-17 21:41:34,CN=root-144.segurosbolivar.com
2,auth.segurosbolivar.com,trustedCertEntry,1667.0,VIGENTE,2030-08-23 21:41:34,CN=auth-391.segurosbolivar.com
1,files.segurosbolivar.com,trustedCertEntry,1481.0,VIGENTE,2030-02-18 21:41:34,CN=files-952.segurosbolivar.com
2,batch.bolivar.cloud,trustedCertEntry,1454.0,VIGENTE,2030-01-22 21:41:34,CN=batch-131.bolivar.cloud
2,ca.bolivar.biz,trustedCertEntry,240.0,VIGENTE,2026-09-26 21:41:34,CN=ca-125.bolivar.biz
3,events.bolivar.cloud,PrivateKeyEntry,1737.0,VIGENTE,2030-11-01 21:41:34,CN=events-954.bolivar.cloud
2,reports.bolivar.cloud,PrivateKeyEntry,325.0,VIGENTE,2026-12-20 21:41:34,CN=reports-387.bolivar.cloud
1,reports.bolivar.cloud,PrivateKeyEntry,-169.0,VENCIDO,2025-08-13 21:41:34,CN=reports-320.bolivar.cloud
1,portal.segurosbolivar.com,PrivateKeyEntry,1027.0,VIGENTE,2028-11-21 21:41:34,CN=portal-97.segurosbolivar.com
3,admin.segurosbolivar.com.co,PrivateKeyEntry,1476.0,VIGENTE,2030-02-13 21:41:34,CN=admin-92.segurosbolivar.com.co
2,ca.bolivar.cloud,trustedCertEntry,1361.0,VIGENTE,2029-10-21 21:41:34,CN=ca-798.bolivar.cloud
2,admin.segurosbolivar.com.co,trustedCertEntry,-156.0,VENCIDO,2025-08-26 21:41:34,CN=admin-863.segurosbolivar.com.co
3,root.segurosbolivar.com,trustedCertEntry,-2.0,VENCIDO,2026-01-27 21:41:34,CN=root-77.segurosbolivar.com
1,gateway.bolivar.biz,trustedCertEntry,-116.0,VENCIDO,2025-10-05 21:41:34,CN=gateway-269.bolivar.biz
2,core.bolivar.biz,trustedCertEntry,1727.0,VIGENTE,2030-10-22 21:41:34,CN=core-136.bolivar.biz
3,gateway.bolivar.internal,PrivateKeyEntry,1707.0,VIGENTE,2030-10-02 21:41:34,CN=gateway-846.bolivar.internal
1,reports.bolivar.internal,PrivateKeyEntry,607.0,VIGENTE,2027-09-28 21:41:34,CN=reports-15.bolivar.internal
3,root.bolivar.biz,trustedCertEntry,1155.0,VIGENTE,2029-03-29 21:41:34,CN=root-7.bolivar.biz
3,monitor.bolivar.internal,PrivateKeyEntry,265.0,VIGENTE,2026-10-21 21:41:34,CN=monitor-372.bolivar.internal
2,portal.segurosbolivar.com.co,trustedCertEntry,846.0,VIGENTE,2028-05-24 21:41:34,CN=portal-621.segurosbolivar.com.co
