cert_id,entry_name,entry_type,dias_restantes,estado,valid_until,nombre_cert
1,api01.segurosbolivar.com,PrivateKeyEntry,-45.0,VENCIDO,2025-12-15 10:12:00,CN=api01.internal.sb
2,portal.sb.com,trustedCertEntry,-3.0,VENCIDO,2026-01-26 09:00:00,CN=portal-root-ca
3,auth.sb.com,PrivateKeyEntry,2.0,CRITICO,2026-01-31 12:00:00,CN=auth-service
1,login.sb.com,trustedCertEntry,5.0,CRITICO,2026-02-03 08:30:00,CN=login-ca
2,inter.sb.com,PrivateKeyEntry,7.0,CRITICO,2026-02-05 18:00:00,CN=intermediate-auth
3,pagos.sb.com,trustedCertEntry,12.0,POR_VENCER,2026-02-10 22:00:00,CN=payments-ca
1,ventas.sb.com,PrivateKeyEntry,18.0,POR_VENCER,2026-02-16 07:45:00,CN=sales-api
2,clientes.sb.com,trustedCertEntry,25.0,POR_VENCER,2026-02-23 11:20:00,CN=clientes-root
3,reportes.sb.com,PrivateKeyEntry,30.0,POR_VENCER,2026-02-28 23:59:00,CN=reports-engine
1,crm.sb.com,trustedCertEntry,45.0,VIGENTE,2026-03-15 06:00:00,CN=crm-global
2,nomina.sb.com,PrivateKeyEntry,60.0,VIGENTE,2026-03-30 14:10:00,CN=payroll-core
3,facturacion.sb.com,trustedCertEntry,75.0,VIGENTE,2026-04-14 09:40:00,CN=billing-ca
1,documentos.sb.com,PrivateKeyEntry,90.0,VIGENTE,2026-04-29 17:00:00,CN=docs-service
2,api02.segurosbolivar.com,trustedCertEntry,120.0,VIGENTE,2026-05-29 21:22:48,CN=api02.external.sb
3,monitor.sb.com,PrivateKeyEntry,150.0,VIGENTE,2026-06-28 08:00:00,CN=monitoring-agent
1,logs.sb.com,trustedCertEntry,180.0,VIGENTE,2026-07-28 12:00:00,CN=logging-root
2,alertas.sb.com,PrivateKeyEntry,210.0,VIGENTE,2026-08-27 10:30:00,CN=alerts-engine
3,soporte.sb.com,trustedCertEntry,240.0,VIGENTE,2026-09-26 16:45:00,CN=support-ca
1,helpdesk.sb.com,PrivateKeyEntry,270.0,VIGENTE,2026-10-26 19:00:00,CN=helpdesk-core
2,infra.sb.com,trustedCertEntry,300.0,VIGENTE,2026-11-25 05:00:00,CN=infrastructure-root
3,seguridad.sb.com,PrivateKeyEntry,330.0,VIGENTE,2026-12-25 23:00:00,CN=security-engine
1,auditoria.sb.com,trustedCertEntry,365.0,VIGENTE,2027-01-29 11:00:00,CN=audit-ca
2,backups.sb.com,PrivateKeyEntry,420.0,VIGENTE,2027-03-25 04:00:00,CN=backup-service
3,storage.sb.com,trustedCertEntry,480.0,VIGENTE,2027-05-24 15:30:00,CN=storage-root
1,datahub.sb.com,PrivateKeyEntry,540.0,VIGENTE,2027-07-23 18:10:00,CN=datahub-core
2,etl.sb.com,trustedCertEntry,600.0,VIGENTE,2027-09-21 20:20:00,CN=etl-engine
3,analytics.sb.com,PrivateKeyEntry,660.0,VIGENTE,2027-11-20 09:00:00,CN=analytics-core
1,bi.sb.com,trustedCertEntry,720.0,VIGENTE,2028-01-19 13:00:00,CN=bi-root
2,ml.sb.com,PrivateKeyEntry,780.0,VIGENTE,2028-03-19 07:00:00,CN=ml-engine
3,ia.sb.com,trustedCertEntry,840.0,VIGENTE,2028-05-18 22:00:00,CN=ai-root
1,chatbot.sb.com,PrivateKeyEntry,900.0,VIGENTE,2028-07-17 06:00:00,CN=chatbot-core
2,notificaciones.sb.com,trustedCertEntry,960.0,VIGENTE,2028-09-15 16:00:00,CN=notifications-root
3,correo.sb.com,PrivateKeyEntry,1020.0,VIGENTE,2028-11-14 12:00:00,CN=mail-engine
1,smtp.sb.com,trustedCertEntry,1080.0,VIGENTE,2029-01-13 03:00:00,CN=smtp-root
2,push.sb.com,PrivateKeyEntry,1140.0,VIGENTE,2029-03-14 21:00:00,CN=push-core
3,webhook.sb.com,trustedCertEntry,1200.0,VIGENTE,2029-05-13 10:00:00,CN=webhook-root
